Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,month,year,day,is_quarter_end,target,Open-Close,Low-High,7_day_MA,RSI,MACD,MACD_signal,MACD_hist,Volume_change
2011-09-19,825.65,825.0,829.15,815.6,823.05,821.55,822.54,2924971,240590584665000.0,58507.0,1053425.0,0.3601,9,2011,19,1,1,3.4500000000000455,-13.549999999999955,821.6,53.69417679172836,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.5227261305220726
2011-09-20,821.55,823.0,853.95,816.3,852.1,851.8,837.43,4214600,352945261655000.0,102689.0,1566868.0,0.3718,9,2011,20,1,0,-28.799999999999955,-37.65000000000009,825.3214285714286,60.05540792999832,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.4409031747665191
2011-09-21,851.8,850.9,850.9,832.3,835.05,837.6,838.76,3892821,326515708355000.0,88473.0,1243401.0,0.3194,9,2011,21,1,0,13.299999999999955,-18.600000000000023,829.7928571428571,56.155574227637615,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.07634864518578277
2011-09-22,837.6,823.95,827.9,780.0,780.25,786.35,803.06,6239874,501097331740000.0,139705.0,2585867.0,0.4144,9,2011,22,1,0,37.60000000000002,-47.89999999999998,826.3785714285714,44.83847738891671,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.6029182949845369
2011-09-23,786.35,773.9,792.6,764.1,768.0,770.6,777.84,8803427,684767762540000.0,174028.0,3098528.0,0.352,9,2011,23,1,0,3.2999999999999545,-28.5,818.5500000000001,42.03483342182799,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.41083409697054774
2011-09-26,770.6,769.2,770.7,747.55,760.45,759.2,758.17,6217951,471429388780000.0,129410.0,3042657.0,0.4893,9,2011,26,1,1,10.0,-23.15000000000009,807.5357142857143,40.08129169884137,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.29368971878792205
2011-09-27,759.2,774.0,800.7,772.0,798.65,797.2,787.17,5039564,396699701255000.0,124486.0,2478936.0,0.4919,9,2011,27,1,0,-23.200000000000045,-28.700000000000045,803.4714285714286,48.64834102865382,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.18951371601352274
2011-09-28,797.2,799.75,806.3,789.1,796.05,797.2,797.08,5722488,456125286955000.0,124442.0,2187171.0,0.3822,9,2011,28,1,1,2.5499999999999545,-17.199999999999932,799.9928571428572,48.648341028653824,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.13551251655897212
2011-09-29,797.2,790.5,812.75,784.45,810.05,807.7,798.21,7203038,574955891470000.0,120443.0,3675036.0,0.5102,9,2011,29,1,1,-17.200000000000045,-28.299999999999955,793.6928571428572,50.89813070822534,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.25872487631254093
2011-09-30,807.7,803.5,822.9,792.5,805.55,808.35,809.05,7987653,646241277345000.0,173347.0,3601078.0,0.4508,9,2011,30,1,0,-4.850000000000023,-30.399999999999977,789.5142857142856,51.04112792561206,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.10892834384602712
2011-10-03,808.35,791.2,799.9,784.1,786.75,788.2,791.13,4825259,381740306745000.0,90707.0,2473572.0,0.5126,10,2011,3,0,0,3.0,-15.799999999999955,789.7785714285716,46.518397684320966,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.39591028804080497
2011-10-04,788.2,784.0,790.8,765.25,771.15,771.6,778.35,6000741,467067070990000.0,124573.0,2578492.0,0.4296999999999999,10,2011,4,0,0,12.399999999999977,-25.549999999999955,789.9214285714286,43.127950645920635,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.24361013574608115
2011-10-05,771.6,772.55,777.9,761.75,765.35,767.0,768.93,4739596,364442284985000.0,108407.0,1800308.0,0.3797999999999999,10,2011,5,0,1,5.5499999999999545,-16.149999999999977,791.0357142857143,42.20987035776741,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.21016487797090389
2011-10-07,767.0,786.7,808.0,784.9,806.05,802.9,795.33,4551326,361981348975000.0,148911.0,2278876.0,0.5007,10,2011,7,0,1,-16.199999999999932,-23.100000000000023,791.8500000000001,50.980178745899615,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.03972279493864039
